nome,sku,marca,preco_pix,disponivel,loja,data_coleta
"Processador AMD Ryzen 5 5600GT, 3.6 GHz, (4.6GHz Max Turbo), Cache 4MB, 6 Núcleos, 12 Threads, AM4 - 100-100001488BOX",520368,AMD,1099.99,True,KaBuM!,2026-02-27 13:05:25
"Processador AMD Ryzen 5 5500, 3.6GHz (4.2GHz Max Turbo), Cache 19MB, AM4, Sem Vídeo - 100-100000457BOX",320799,AMD,1282.78,True,KaBuM!,2026-02-27 13:05:25
"Processador AMD Ryzen 7 5700X, 3.4GHz (4.6GHz Max Turbo), Cache 36MB, AM4, Sem Vídeo - 100-100000926WOF",320797,AMD,1834.3,True,KaBuM!,2026-02-27 13:05:25
"Processador AMD Ryzen 7 9800X3D, Cache 8MB, 8 Núcleos, 16 Threads, AM5 - 100-100001084WOF",662405,AMD,3699.99,True,KaBuM!,2026-02-27 13:05:25
"Processador AMD Ryzen 7 7800X3D, 5.0GHz Max Turbo, Cache 104MB, AM5, 8 Núcleos, Vídeo Integrado - 100-100000910WOF",426262,AMD,3599.99,True,KaBuM!,2026-02-27 13:05:25
"Processador Intel Core i5-12400F, 2.5GHz (4.4GHz Max Turbo), Cache 18MB, LGA 1700 - BX8071512400F",283718,Intel,939.99,True,KaBuM!,2026-02-27 13:05:25
"Processador AMD Ryzen 7 5700, 3.7 GHz (4.6GHz Max Turbo), Cache 20MB, 8 Núcleos, 16 Threads, AM4 - 100-100000743SBX",938497,AMD,1999.98,True,KaBuM!,2026-02-27 13:05:25
"Processador AMD Ryzen 3 3200G, 3.6GHz (4GHz Max Turbo), Cache 4MB, Quad Core, 4 Threads, AM4 - YD3200C5FHBOX",102248,AMD,494.99,True,KaBuM!,2026-02-27 13:05:25
"Processador AMD Ryzen 7 5700G, 3.8GHz (4.6GHz Max Turbo), Cache 20MB, 8 Núcleos, 16 Threads, Vídeo Integrado, AM4 - 100-100000263BOX",181089,AMD,2356.97,True,KaBuM!,2026-02-27 13:05:25
"Processador AMD Ryzen 9 5900XT, 3,3 GHz (4.8 GHz), Cache 64MB, 16 Núcleos, 32 Threads, AM4 - 100-100001581WOF",609953,AMD,2999.99,True,KaBuM!,2026-02-27 13:05:25
"Processador AMD Ryzen 5 7600X, 5.3GHz  Max Turbo, Cache 38MB, AM5, 6 Núcleos, Vídeo Integrado - 100-100000593WOF",378414,AMD,2393.25,True,KaBuM!,2026-02-27 13:05:25
"Processador AMD Ryzen 7 5800XT, 3.8 GHz (4.8 GHz Max Turbo), Cache 32 MB, 8 Núcleos, 16 Threads, AM4 - 100-100001582WOF",938498,AMD,2499.99,True,KaBuM!,2026-02-27 13:05:25
"Processador AMD Ryzen 5 5600XT, 3.7GHz (4.7GHz Max Turbo), Cache 32MB, 6 Núleos - 100-100001585BOX",937012,AMD,1599.99,True,KaBuM!,2026-02-27 13:05:25
"Processador AMD Ryzen 7 5700, 3.7 GHz (4.6GHz Max Turbo), Cache 4MB, 8 Núcleos, 16 Threads, AM4 - 100-100000743SBX",520367,AMD,1299.99,True,KaBuM!,2026-02-27 13:05:25
"Processador AMD Ryzen 9 9950x3d, 4,4 GHz, (Máx Boos Clock Até 5,5 GHz), Cache 144MB, 16 Núcleos, Threads 32, AM5 - 100-100000719WOF",708039,AMD,7000.0,True,KaBuM!,2026-02-27 13:05:25
"Processador Intel Core i7-14700KF, 14ª Geração, 5.6 GHz Max Turbo, Cache 33MB, 20 Núcleos, 28 Threads, LGA1700 - BX8071514700KF",497577,Intel,3100.0,True,KaBuM!,2026-02-27 13:05:25
"Processador Intel Core i9-14900K, 14ª Geração, 6GHz Max Turbo, Cache 36MB, 24 Núcleos, 32 Threads, LGA1700 - BX8071514900K",497573,Intel,3999.98,True,KaBuM!,2026-02-27 13:05:25
"Processador Intel Core i7-14700K, 14ª Geração, 5.6 GHz Max Turbo, Cache 33MB, 20 Núcleos, 28 Threads, LGA1700 - BX8071514700K",497575,Intel,3199.99,True,KaBuM!,2026-02-27 13:05:25
"Processador AMD Ryzen 9 7900X, 5.6GHz Max Turbo, Cache 76MB, AM5, 12 Núcleos, Vídeo Integrado - 100-100000589WOF",378412,AMD,4599.99,True,KaBuM!,2026-02-27 13:05:25
"Processador Intel Core Ultra 7-265K, 5.5GHz, Até 20 Núcleos, Com suporte a PCIe 5.0 e 4.0 e suporte a DDR5 - BX80768265K",645178,Intel,2999.99,True,KaBuM!,2026-02-27 13:05:25
"Processador AMD Ryzen 5 9600X, 3.9 GHz (5.4 GHz), Cache 32 MB, 6 Núcleos, 12 Threads, AM5 - 100-100001405WOF",609956,AMD,1699.99,True,KaBuM!,2026-02-27 13:05:25
"Processador Intel Core i5-12600K, 3.7GHz (4.9GHz Max Turbo), Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700, Vídeo Integrado - BX8071512600K",241046,Intel,1699.99,True,KaBuM!,2026-02-27 13:05:25
"Processador Intel Core Ultra 9-285K, 5.7GHz, Até 24 Núcleos, Com suporte a PCIe 5.0 e 4.0 e suporte a DDR5 - BX80768285K",645177,Intel,4714.99,True,KaBuM!,2026-02-27 13:05:25
"Processador AMD Ryzen 5 7600, 5.1GHz Max Turbo, Cache 38MB, AM5, 6 Núcleos, Vídeo Integrado - 100-100001015BOX",405799,AMD,1549.99,True,KaBuM!,2026-02-27 13:05:25
"Processador Intel Core i7-12700F, 2.1GHz (4.9GHz Max Turbo), Cache 25MB, LGA 1700 - BX8071512700F",283717,Intel,1978.59,True,KaBuM!,2026-02-27 13:05:25
"Processador AMD Ryzen 5 8600G, 4.3 GHz (5.0GHz Max Turbo), Cache 6MB, 6 Núcleos, 12 Threads, AM5, Vídeo Integrado - 100-100001237BOX",520365,AMD,1943.78,True,KaBuM!,2026-02-27 13:05:25
"Processador AMD Ryzen 9 9900X, 4.4 GHz (5.6 GHz), Cache 64 MB, 12 Núcleos, 24 Threads, AM5 - 100-100000662WOF",609952,AMD,3999.99,True,KaBuM!,2026-02-27 13:05:25
