nome,preco_pix,socket,loja,data_coleta
"Processador AMD Ryzen Threadripper PRO 9975WX, 32-Core, 64-Threads, 4GHz (5.4GHz Turbo), Cache 128MB, sTR5, 100-100000723WOF",30999.99,,Pichau,2026-02-25 13:44:31
"Processador AMD Ryzen Threadripper PRO 9965WX, 24-Core, 48-Threads, 4.2GHz (5.4GHz Turbo), Cache 128MB, sTR5, 100-100000724WOF",21999.99,,Pichau,2026-02-25 13:44:31
"Processador AMD Ryzen Threadripper 9980X, 64-Core, 128-Threads, 3.2GHz (5.4GHz Turbo), Cache 256MB, sTR5, 100-100001593WOF",39999.99,7499,Pichau,2026-02-25 13:44:31
"Processador AMD Ryzen 7 7700, 8-Core, 16-Threads, 3.8GHz (5.3GHz Turbo), Cache 40MB, AM5, 100-100000592SBX",1799.99,6689,Pichau,2026-02-25 13:44:31
"Processador AMD Ryzen 9 7900, 12-Core, 24-Threads, 3.7GHz (5.4GHzTurbo), Cache 76MB, AM5, 100-100000590WOF",2499.99,6689,Pichau,2026-02-25 13:44:31
"Processador AMD Ryzen 7 5700, 8-Core, 16-Threads, 3.7GHz (4.6GHz Turbo), Cache 20MB, AM4, 100-100000743SBX",968.99,539,Pichau,2026-02-25 13:44:31
"Processador AMD Ryzen 9 9900X3D, 12-Core, 24-Threads, 4.4GHz (5.5GHz Turbo), Cache 140MB, AM5, 100-100001368WOF-BR",3299.99,,Pichau,2026-02-25 13:44:31
"Processador AMD Ryzen 7 8700F, 8-Cores, 16-Threads, 4.1GHz (5.0GHz Turbo), Cache 16MB, AM5, 100-100001590BOX-BR",1199.99,6689,Pichau,2026-02-25 13:44:31
"Processador AMD Ryzen 5 5500X3D, 6-Core, 12-Threads, 3GHz (4GHz Turbo), Cache 99MB, AM4, 100-100001504WOF-BR",1689.99,,Pichau,2026-02-25 13:44:31
"Processador AMD Ryzen 7 5800XT, 8-Core, 16-Threads, 3.8GHz (4.8GHz Turbo), Cache 36MB, AM4, 100-100001582WOF",1619.99,539,Pichau,2026-02-25 13:44:31
"Processador AMD Ryzen 5 4500, 6-Core, 12-Threads, 3.6GHz (4.1GHz Turbo), Cache 11MB, AM4, 100-100000644BOX-BR",599.99,539,Pichau,2026-02-25 13:44:31
"Processador AMD Ryzen 7 8700G, 8-Core, 16-Threads, 4.2GHz (5.1GHz Turbo), Cache 24MB, AM5, 100-100001236SBX",1549.99,6689,Pichau,2026-02-25 13:44:31
"Processador Intel Core i7-12700, 12-Core, 20-Threads, 2.1GHz (4.9GHz Max Turbo), Cache 25MB, LGA1700, BX8071512700-BR",1659.99,,Pichau,2026-02-25 13:44:31
"Processador AMD Ryzen 7 7800X3D, 8-Core, 16-Threads, 4.2GHz (5.0GHzTurbo), Cache 104MB, AM5, 100-100000910WOF-BR",1999.99,6689,Pichau,2026-02-25 13:44:31
"Processador AMD Athlon 3000G, 2-Core, 4-Threads, 3.5GHz, Cache 5MB, AM4, YD3000C6FHSBX-BR",289.99,539,Pichau,2026-02-25 13:44:31
"Processador Intel Core i3-14100F, 4-Core, 8-Threads, 3.5GHz (4.7GHz Turbo), Cache 12MB, LGA1700, BX8071514100F-BR",599.99,6526,Pichau,2026-02-25 13:44:31
"Processador AMD Ryzen 9 9900X3D, 12-Core, 24-Threads, 4.4GHz (5.5GHz Turbo), Cache 140MB, AM5, 100-100001368WOF",3299.99,6689,Pichau,2026-02-25 13:44:31
"Processador AMD Ryzen 5 9600X, 6-Core, 12-Threads, 3.9GHz (5.4GHz Turbo), Cache 38MB, AM5, 100-100001405WOF-BR",1389.99,6689,Pichau,2026-02-25 13:44:31
"Processador Intel Core Ultra 5 225F, 10-Core, 10-Threads, 3.3GHz (4.9GHz Turbo), Cache 20MB, LGA1851, BX80768225F",899.99,7685,Pichau,2026-02-25 13:44:31
"Processador Intel Core i3-12100, 4-Core, 8-Threads, 3.3GHz (4.3GHz Turbo), Cache 12MB, LGA1700, BX8071512100-BR",749.99,6526,Pichau,2026-02-25 13:44:31
"Processador Intel Core Ultra 7 265KF, 20-Core, 20-Threads, 3.9GHz (5.5GHz Turbo), Cache 30MB, LGA1851, BX80768265KF",1789.99,7685,Pichau,2026-02-25 13:44:31
"Processador AMD Ryzen 5 5600XT, 6-Core, 12-Threads, 3.7GHz (4.7GHz Turbo), Cache 35MB, AM4, 100-100001585BOX",1099.99,539,Pichau,2026-02-25 13:44:31
"Processador Intel Core Ultra 9 285, 24-Core, 24-Threads, 2.5GHz (5.6GHz Turbo), Cache 36MB, LGA1851, BX80768285",3299.99,7685,Pichau,2026-02-25 13:44:31
"Processador AMD Ryzen 5 7600X, 6-Core, 12-Threads, 4.7GHz (5.3GHz Turbo), Cache 38MB, AM5, 100-100000593WOF",1239.99,6689,Pichau,2026-02-25 13:44:31
"Processador AMD Ryzen 7 9800X3D, 8-Core, 16-Threads, 4.7GHz (5.2GHz Turbo), Cache 104MB, AM5, 100-100001084WOF",2689.99,6689,Pichau,2026-02-25 13:44:31
"Processador Intel Core Ultra 5 225, 10-Core, 10-Threads, 3.3GHz (4.9GHz Turbo), Cache 20MB, LGA1851, BX80768225",1149.99,7685,Pichau,2026-02-25 13:44:31
"Processador Intel Core i5-14400, 10-Core, 16-Threads, 3.5GHz (4.7GHz Turbo), Cache 20MB, LGA1700, BX8071514400-BR",1399.99,6526,Pichau,2026-02-25 13:44:31
"Processador AMD Ryzen 7 5700X, 8-Core, 16-Threads, 3.4GHz (4.6GHz Turbo), Cache 36MB, AM4, 100-100000926WOF",1099.99,539,Pichau,2026-02-25 13:44:31
"Processador AMD Ryzen 7 5700G, 8-Core, 16-Threads, 3.8GHz (4.6GHz Turbo), Cache 20MB, AM4, 100-100000263BOX",1079.99,"539,6539",Pichau,2026-02-25 13:44:31
