nome,sku,marca,preco_pix,preco_parcelado,socket,disponivel,loja,data_coleta
"Processador Intel Core i7-14700, até 5,40 GHz, Cache 33MB,-Núcleos 20, Threads 28, UHD Graphics 770 - BX8071514700",904659,Intel,2999.99,3409.08,,True,KaBuM!,2026-02-26 16:51:50
Processador Intel Core Ultra 5 Desktop Processor 225 - BX80768225,696999,Intel,1799.99,2045.44,,True,KaBuM!,2026-02-26 16:51:50
"Processador AMD Ryzen 9 7900, 3.7GHz (5.4GHz Turbo), Cache 76MB, 12 Núcleos, 24 Threads, AM5, Vídeo Integrado - 100-100000590WOF",957193,AMD,3499.99,3888.88,,True,KaBuM!,2026-02-26 16:51:50
"Processador AMD Ryzen 9 9900x3d, 4,4 GHz, (Máx Boos Clock Até 5,5 GHz), Cache 140MB, 12 Núcleos, Threads 24, AM5 - 100-100001368WOF",708038,AMD,6500.0,7386.36,,True,KaBuM!,2026-02-26 16:51:50
"Processador AMD Ryzen 7 7700X, 5.4GHz Max Turbo, Cache 40MB, AM5, 8 Núcleos, Vídeo Integrado - 100-100000591WOF",378413,AMD,2911.13,3234.59,,True,KaBuM!,2026-02-26 16:51:50
"Processador AMD Ryzen 5 7600, 5.1GHz Max Turbo, Cache 38MB, AM5, 6 Núcleos, Vídeo Integrado - 100-100001015BOX",405799,AMD,1549.99,1823.52,,True,KaBuM!,2026-02-26 16:51:50
"Processador Intel Core Ultra 9-285K, 5.7GHz, Até 24 Núcleos, Com suporte a PCIe 5.0 e 4.0 e suporte a DDR5 - BX80768285K",645177,Intel,4714.99,5238.88,,True,KaBuM!,2026-02-26 16:51:50
"Processador AMD Ryzen 3 3200G, 3.6GHz (4GHz Max Turbo), Cache 4MB, Quad Core, 4 Threads, AM4 - YD3200C5FHBOX",102248,AMD,494.99,549.99,,True,KaBuM!,2026-02-26 16:51:50
"Processador AMD Ryzen 7 8700F, 4.1 GHz (5.0 GHz Max Turbo), Cache 24MB, 8 Núcleos, 16 Threads, AM5 - 100-100001590BOX",571928,AMD,1899.99,2111.1,,True,KaBuM!,2026-02-26 16:51:50
"Processador Intel Core i3-13100F, 4.5GHz Max Turbo, Cache 12MB, 4 Núcleos, 8 Threads, LGA 1700 - BX8071513100F",405768,Intel,899.99,1022.72,,True,KaBuM!,2026-02-26 16:51:50
